구,전기차수,충전소,인구,주유소갯수,휘발유자동차수
강남구,12173,2252,503019,35,216532
구로구,3799,1344,426220,21,128156
서초구,3495,1947,392302,33,166410
영등포구,2388,1228,402984,29,133605
송파구,1988,2106,634720,33,226642
강서구,1776,1596,559837,32,181777
성동구,1461,1756,286469,17,96307
강동구,1293,1272,451099,14,136235
마포구,1086,1410,365192,12,111313
양천구,998,899,433373,25,135870
용산구,968,804,221688,13,74737
중구,968,914,126310,11,57305
성북구,926,1483,435509,24,109967
은평구,901,1197,457385,17,118425
노원구,896,1353,503929,15,133828
중랑구,778,1218,380307,15,99553
관악구,777,594,495777,15,106692
동작구,726,1036,388094,10,97979
서대문구,669,812,314547,15,80604
동대문구,659,903,348201,19,88879
도봉구,639,702,309200,18,83308
광진구,623,546,347099,16,89909
종로구,611,604,148857,9,46746
금천구,561,958,247398,12,81146
강북구,514,622,292611,13,66247
